cod_art,nom_art,isbn,autor,cod_edito,cod_colecc,cod_tema,precio_1
9789804372063,SEMILLAS DE LUZ,9789804372063,CECILIA RIVERO,336,001,131,25.0
9789804372421,SI VAN A HABLAR QUE LO HAGAN BIEN,9789804372421,JESUS VALBUENA,336,001,278,20.0
9789804372544,DETRAS DE LA SONRISA DE LOS PECKYS,9789804372544,EVALDAS Y YENNIFER PECKYS,336,001,018,25.0
9789804372681,GILBERTO CORREA EL PRINCIPE DE LA  ANIMACION,9789804372681,JUAN PABLO TORRES DELGADO,336,001,018,35.0
9789804372988,DEL ESPIRITU AL BOLSILLO,9789804372988,MAYRET HENRIQUEZ,336,001,308,28.0
9789804373152,EL PROBLEMA NO ES EL PROBLEMA,9789804373152,DR EFRAIN HOFFMANN,336,001,014,20.0
9789804373350,MARIYA UNA MUJER DE MIL SECRETOS,9789804373350,LUCY ORTA,336,001,192,25.0
9789804373558,TRAS LA HUELLA DEL CRIMEN,9789804373558,REBECA HENRIQUEZ,336,001,348,25.0
9789804390210,LOS INMATERIALES,9789804390210,OSCAR MARCANO,288,001,172,25.0
9789804390258,POPULISMO Y DESINDUSTRIALIZACION,9789804390258,GERARDO LUCAS,288,001,110,12.0
9789804390562,EL MACCSI UN MUSEO DIFERENTE,9789804390562,MARIA LUZ CARDENAS CARLOS DELGADO FLORES,288,001,012,25.0
9789804390647,CARLOS ANDRES PEREZ EL GRAN VIRAJE,9789804390647,GERARDO LUCAS,288,001,211,12.0
9789804390678,LA DEMOCRACIA DESMANTELADA,9789804390678,ANDRES CAÑIZALEZ,288,001,211,18.0
9789804390685,CARLOS ANDRES PEREZ LA GRAN VENEZUELA,9789804390685,GERARDO LUCAS,288,001,211,12.0
9789804390715,COCINA EXTRAORDINARIA 2,9789804390715,HELENA IBARRA,001,001,105,80.0
9789804390913,SER BUENA GENTE,9789804390913,EMILIO GRATERON COLMENARES,288,001,308,30.0
9789804390937,LEGORBURU Y LA CONCIENCIA DEL LUGAR,9789804390937,JOSE HUMBERTO GOMEZ VICTOR SANCHEZ TAFFUR,288,001,011,20.0
9789804391019,CASA NATAL,9789804391019,ANTONIO LOPEZ ORTEGA,288,001,219,30.0
9789804391064,EL MAESTRO DE CEREMONIA,9789804391064,ETNA DE MARCHENA DE FAGRE,283,001,014,20.0
9789804391088,LAS LIBRETAS,9789804391088,FEDOSY SANTAELLA,288,001,172,30.0
9789804391095,ALFABETIZACION MEDIATICA,9789804391095,EDUARDO CABALLERO ARDILA,288,001,070,10.0
9789804391279,CON DERECHO A UN PAIS,9789804391279,JUAN CRISTOBAL CARMONA BORJAS,288,001,059,25.0
9789804391330,VEINTE AÑOS DE NEGOCIACION POLITICA EN VENEZUELA,9789804391330,AA.VV.,288,001,211,30.0
9789804391415,LA BUSQUEDA DEL INSTANTE,9789804391415,JOHANNA PEREZ DAZ,288,001,018,15.0
9789804391491,LA CONSOLIDACION DE UNA TRANSICION DEMOCRATICA VOL 2,9789804391491,BENIGNO ALARCON DEZA,288,001,211,20.0
9789804391507,SOCIEDAD EDUCADORA,9789804391507,ESCUELA DE EDUCACION UCAB,288,001,070,15.0
9789804391538,IFIGENIA,9789804391538,TERESA DE LA PARRA,288,001,172,25.0
9789804391545,CORTE INTERNACIONAL DE JUSTICIA,9789804391545,RAFAEL BADELL MADRID,288,001,059,20.0
9789804391637,EL DUELO PETROLERO,9789804391637,GUILLERMO GUZMAN MIRABAL,288,001,211,35.0
9789804391644,A QUIEN LE ESCRIBES,9789804391644,ADRIANNA MARA OLIVARES,531,001,071,15.0
9789806028074,NADA SAGRADO TEXTOS ZEN,9789806028074,VARIOS AUTORES,133,001,056,8.0
9789806028784,LA OTRA ISLA,9789806028784,FRANCISCO SUNIAGA,133,001,184,15.0
